time lat lng power speed pressure strong
2026-06-23 08:00:00 14.9 145.9 8 18 1004 热带风暴(TS)
2026-06-23 11:00:00 15.4 145.3 8 18 998 热带风暴(TS)
2026-06-23 14:00:00 15.4 145.0 8 18 998 热带风暴(TS)
2026-06-23 17:00:00 15.4 144.6 8 18 998 热带风暴(TS)
2026-06-23 20:00:00 15.7 144.1 8 18 998 热带风暴(TS)
2026-06-23 23:00:00 15.7 144.0 8 18 998 热带风暴(TS)
2026-06-24 02:00:00 15.7 143.6 8 18 998 热带风暴(TS)
2026-06-24 05:00:00 15.7 142.4 8 18 998 热带风暴(TS)
2026-06-24 08:00:00 15.7 141.9 8 18 998 热带风暴(TS)
2026-06-24 11:00:00 15.9 141.5 8 18 998 热带风暴(TS)
2026-06-24 14:00:00 15.9 140.8 8 18 998 热带风暴(TS)
2026-06-24 17:00:00 15.9 140.0 8 18 998 热带风暴(TS)
2026-06-24 20:00:00 16.2 139.5 8 18 998 热带风暴(TS)
2026-06-24 23:00:00 16.5 139.0 8 18 998 热带风暴(TS)
2026-06-25 02:00:00 17.2 137.9 8 20 995 热带风暴(TS)
2026-06-25 05:00:00 17.3 137.7 8 20 995 热带风暴(TS)
2026-06-25 08:00:00 17.4 137.0 8 20 995 热带风暴(TS)
